series,episode,uk_airdate,viewers_7day
1,1,2010-08-17,2.24
1,2,2010-08-24,3
1,3,2010-08-31,3
1,4,2010-09-07,2.6
1,5,2010-09-14,3.03
1,6,2010-09-21,2.75
2,1,2011-08-16,3.1
2,2,2011-08-23,3.53
2,3,2011-08-30,3.82
2,4,2011-09-06,3.6
2,5,2011-09-13,3.8299999999999996
2,6,2011-09-20,4.25
2,7,2011-09-27,4.42
2,8,2011-10-04,5.06
3,1,2012-08-14,3.8499999999999996
3,2,2012-08-21,4.6
3,3,2012-08-28,4.53
3,4,2012-09-04,4.71
3,5,2012-09-11,4.609999999999999
3,6,2012-09-18,4.819999999999999
3,7,2012-09-25,5.1
3,8,2012-10-02,5.35
3,9,2012-10-09,5.7
3,10,2012-10-16,6.74
4,1,2013-08-20,6.6
4,2,2013-08-27,6.6499999999999995
4,3,2013-09-03,7.17
4,4,2013-09-10,6.819999999999999
4,5,2013-09-17,6.95
4,6,2013-09-24,7.319999999999999
4,7,2013-10-01,7.76
4,8,2013-10-08,7.41
4,9,2013-10-15,7.41
4,10,2013-10-22,9.450000000000001
5,1,2014-08-06,8.51
5,2,2014-08-13,8.79
5,3,2014-08-20,9.28
5,4,2014-08-27,10.25
5,5,2014-09-03,9.950000000000001
5,6,2014-09-10,10.129999999999999
5,7,2014-09-17,10.28
5,8,2014-09-24,9.023
5,9,2014-10-01,10.67
5,10,2014-10-08,13.51
6,1,2015-08-05,11.62
6,2,2015-08-12,11.59
6,3,2015-08-19,12.01
6,4,2015-08-26,12.360000000000001
6,5,2015-09-02,12.39
6,6,2015-09-09,12
6,7,2015-09-16,12.350000000000001
6,8,2015-09-23,11.09
6,9,2015-09-30,12.65
6,10,2015-10-07,15.05
7,1,2016-08-24,13.58
7,2,2016-08-31,13.450000000000001
7,3,2016-09-07,13.01
7,4,2016-09-14,13.29
7,5,2016-09-21,13.12
7,6,2016-09-28,13.129999999999999
7,7,2016-10-05,13.450000000000001
7,8,2016-10-12,13.26
7,9,2016-10-19,13.44
7,10,2016-10-26,15.9
8,1,2017-08-29,9.46
8,2,2017-09-05,9.229999999999999
8,3,2017-09-12,8.68
8,4,2017-09-19,8.55
8,5,2017-09-26,8.61
8,6,2017-10-03,8.61
8,7,2017-10-10,9.01
8,8,2017-10-17,8.950000000000001
8,9,2017-10-24,9.03
8,10,2017-10-31,10.04
9,1,2018-08-28,9.55
9,2,2018-09-04,9.31
9,3,2018-09-11,8.91
9,4,2018-09-18,8.88
9,5,2018-09-25,8.67
9,6,2018-10-02,8.91
9,7,2018-10-09,9.219999999999999
9,8,2018-10-16,9.69
9,9,2018-10-23,9.5
9,10,2018-10-30,10.34
